id,year,event,location,content,label,source
1053,2024,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Factly
1054,2025,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,PIB Fact Check
1055,2020,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Newschecker
1056,2021,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Alt News
1057,2022,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,BOOM Live
1058,2023,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Factly
1059,2024,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,PIB Fact Check
1060,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Newschecker
1061,2020,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Alt News
1062,2021,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,BOOM Live
1063,2022,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Factly
1064,2023,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,PIB Fact Check
1065,2024,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Newschecker
1066,2025,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Alt News
1067,2020,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,BOOM Live
1068,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Factly
1069,2022,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,PIB Fact Check
1070,2023,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Newschecker
1071,2024,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Alt News
1072,2025,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,BOOM Live
1073,2020,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Factly
1074,2021,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,PIB Fact Check
1075,2022,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Newschecker
1076,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Alt News
1077,2024,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,BOOM Live
1078,2025,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Factly
